ClientID,ID,Rank,MaxLevel,MaxRank,Rarity,Type,Camp,Label,BaseHP,BaseAttack,BaseDefence,GrowthHP,GrowthAttack,GrowthDefence,NormalSkillID,SuperSkillID,PassiveSkillID,DecomposeRes,BattlePower,BattlePowerGrowth,HeadItem,BagFullChangeItem,ConvertID1,ConvertID2,ConvertItem
125104,1251,4,80,6,9,1,1,"1,3",1388,551,176,13881,5512,1768,105101,105111,"700071,105123,105132","2,310000,4,16000,10,31000",549,5493,61051,,,,
125105,1251,5,100,6,9,1,1,"1,3",1596,633,203,15963,6339,2033,105101,105111,"700071,105123,105132","2,310000,4,16000,10,31000",631,6317,61051,,,,
125106,1251,6,240,6,9,1,1,"1,3",1835,728,233,18358,7289,2338,105101,105111,"700071,105123,105132,105142","2,310000,4,16000,10,31000",726,7264,61051,,,,
130101,1301,1,30,6,10,1,1,"1,3",1095,434,139,10952,4349,1395,105101,105111,700071,"2,460000,4,30000,10,46000",433,4334,61051,,,,
130102,1301,2,45,6,10,1,1,"1,3",1259,500,160,12595,5001,1604,105101,105111,"700071,105123","2,460000,4,30000,10,46000",498,4984,61051,,,,
130103,1301,3,60,6,10,1,1,"1,3",1448,575,184,14484,5751,1844,105101,105111,"700071,105123","2,460000,4,30000,10,46000",573,5731,61051,,,,
130104,1301,4,80,6,10,1,1,"1,3",1665,661,212,16657,6614,2121,105101,105111,"700071,105123,105133","2,460000,4,30000,10,46000",659,6591,61051,,,,
130105,1301,5,100,6,10,1,1,"1,3",1915,760,243,19156,7606,2439,105101,105111,"700071,105123,105133","2,460000,4,30000,10,46000",758,7580,61051,,,,
130106,1301,6,270,6,10,1,1,"1,3",2202,874,280,22029,8747,2805,105101,105111,"700071,105123,105133,105142","2,460000,4,30000,10,46000",871,8717,61051,,,,
135101,1351,1,30,6,11,1,1,"1,3",1314,521,167,13143,5219,1674,105101,105111,700071,"2,640000,4,60000,10,64000",520,5201,61051,,,,
135102,1351,2,45,6,11,1,1,"1,3",1511,600,192,15114,6002,1925,105101,105111,"700071,105123","2,640000,4,60000,10,64000",598,5981,61051,,,,
135103,1351,3,60,6,11,1,1,"1,3",1738,690,221,17381,6902,2213,105101,105111,"700071,105123","2,640000,4,60000,10,64000",687,6878,61051,,,,
135104,1351,4,80,6,11,1,1,"1,3",1998,793,254,19989,7937,2546,105101,105111,"700071,105123,105133","2,640000,4,60000,10,64000",791,7910,61051,,,,
135105,1351,5,100,6,11,1,1,"1,3",2298,912,292,22987,9128,2927,105101,105111,"700071,105123,105133","2,640000,4,60000,10,64000",909,9096,61051,,,,
135106,1351,6,300,6,11,1,1,"1,3",2643,1049,336,26435,10497,3367,105101,105111,"700071,105123,105133,105143","2,640000,4,60000,10,64000",1046,10461,61051,,,,
105201,1052,1,30,6,5,2,1,"1,3",573,139,63,5737,1399,630,105201,105211,700071,"2,10000,5,250,10,1000",174,1741,61052,"51052,50",125,215,"23,100"
105202,1052,2,45,6,5,2,1,"1,3",659,160,72,6597,1609,725,105201,105211,"700071,700001","2,10000,5,250,10,1000",200,2003,61052,"51052,50",125,215,"23,100"
105203,1052,3,60,6,5,2,1,"1,3",758,185,83,7587,1850,833,105201,105211,"700071,700001","2,10000,5,250,10,1000",230,2303,61052,"51052,50",125,215,"23,100"
105204,1052,4,80,6,5,2,1,"1,3",872,212,95,8725,2128,958,105201,105211,"700071,700001,105221","2,10000,5,250,10,1000",264,2649,61052,"51052,50",125,215,"23,100"
105205,1052,5,100,6,5,2,1,"1,3",1003,244,110,10034,2447,1102,105201,105211,"700071,700001,105221","2,10000,5,250,10,1000",304,3046,61052,"51052,50",125,215,"23,100"
105206,1052,6,120,6,5,2,1,"1,3",1153,281,126,11539,2814,1268,105201,105211,"700071,700001,105221,105231","2,10000,5,250,10,1000",350,3503,61052,"51052,50",125,215,"23,100"
110201,1102,1,30,6,6,2,1,"1,3",688,167,75,6884,1679,756,105201,105211,700071,"2,40000,5,1500,10,4000",209,2090,61052,,,,
110202,1102,2,45,6,6,2,1,"1,3",791,193,87,7917,1931,870,105201,105211,"700071,700002","2,40000,5,1500,10,4000",240,2403,61052,,,,
110203,1102,3,60,6,6,2,1,"1,3",910,222,100,9104,2220,1000,105201,105211,"700071,700002","2,40000,5,1500,10,4000",276,2764,61052,,,,
110204,1102,4,80,6,6,2,1,"1,3",1047,255,115,10470,2553,1150,105201,105211,"700071,700002,105221","2,40000,5,1500,10,4000",317,3178,61052,,,,
110205,1102,5,100,6,6,2,1,"1,3",1204,293,132,12041,2936,1323,105201,105211,"700071,700002,105221","2,40000,5,1500,10,4000",365,3655,61052,,,,
110206,1102,6,150,6,6,2,1,"1,3",1384,337,152,13847,3377,1521,105201,105211,"700071,700002,105221,105231","2,40000,5,1500,10,4000",420,4204,61052,,,,
115201,1152,1,30,6,7,2,1,"1,3",826,201,90,8261,2015,907,105201,105211,700071,"2,100000,5,4000,10,10000",250,2508,61052,,,,
115202,1152,2,45,6,7,2,1,"1,3",950,231,104,9500,2317,1044,105201,105211,"700071,700002","2,100000,5,4000,10,10000",288,2884,61052,,,,
115203,1152,3,60,6,7,2,1,"1,3",1092,266,120,10925,2664,1200,105201,105211,"700071,700002","2,100000,5,4000,10,10000",331,3317,61052,,,,
115204,1152,4,80,6,7,2,1,"1,3",1256,306,138,12564,3064,1380,105201,105211,"700071,700002,105222","2,100000,5,4000,10,10000",381,3814,61052,,,,
115205,1152,5,100,6,7,2,1,"1,3",1444,352,158,14449,3524,1587,105201,105211,"700071,700002,105222","2,100000,5,4000,10,10000",438,4386,61052,,,,
115206,1152,6,180,6,7,2,1,"1,3",1661,405,182,16616,4053,1826,105201,105211,"700071,700002,105222,105231","2,100000,5,4000,10,10000",504,5044,61052,,,,
120201,1202,1,30,6,8,2,1,"1,3",991,241,108,9913,2418,1089,105201,105211,700071,"2,190000,5,8000,10,19000",300,3009,61052,,,,
120202,1202,2,45,6,8,2,1,"1,3",1140,278,125,11400,2780,1252,105201,105211,"700071,700002","2,190000,5,8000,10,19000",346,3461,61052,,,,
120203,1202,3,60,6,8,2,1,"1,3",1311,319,144,13111,3197,1440,105201,105211,"700071,700002","2,190000,5,8000,10,19000",398,3980,61052,,,,
120204,1202,4,80,6,8,2,1,"1,3",1507,367,165,15077,3677,1656,105201,105211,"700071,700002,105222","2,190000,5,8000,10,19000",457,4577,61052,,,,
120205,1202,5,100,6,8,2,1,"1,3",1733,422,190,17339,4229,1905,105201,105211,"700071,700002,105222","2,190000,5,8000,10,19000",526,5264,61052,,,,
120206,1202,6,210,6,8,2,1,"1,3",1994,486,219,19940,4863,2191,105201,105211,"700071,700002,105222,105232","2,190000,5,8000,10,19000",605,6053,61052,,,,
125201,1252,1,30,6,9,2,1,"1,3",1189,290,130,11896,2901,1307,105201,105211,700071,"2,310000,5,16000,10,31000",361,3611,61052,,,,
125202,1252,2,45,6,9,2,1,"1,3",1368,333,150,13681,3336,1503,105201,105211,"700071,700003","2,310000,5,16000,10,31000",415,4153,61052,,,,
125203,1252,3,60,6,9,2,1,"1,3",1573,383,172,15733,3837,1728,105201,105211,"700071,700003","2,310000,5,16000,10,31000",477,4776,61052,,,,
125204,1252,4,80,6,9,2,1,"1,3",1809,441,198,18093,4413,1988,105201,105211,"700071,700003,105222","2,310000,5,16000,10,31000",549,5493,61052,,,,
125205,1252,5,100,6,9,2,1,"1,3",2080,507,228,20807,5075,2286,105201,105211,"700071,700003,105222","2,310000,5,16000,10,31000",631,6317,61052,,,,
125206,1252,6,240,6,9,2,1,"1,3",2392,583,262,23928,5836,2629,105201,105211,"700071,700003,105222,105232","2,310000,5,16000,10,31000",726,7264,61052,,,,
130201,1302,1,30,6,10,2,1,"1,3",1427,348,156,14275,3482,1568,105201,105211,700071,"2,460000,5,30000,10,46000",433,4334,61052,,,,
130202,1302,2,45,6,10,2,1,"1,3",1641,400,180,16417,4004,1804,105201,105211,"700071,700003","2,460000,5,30000,10,46000",498,4984,61052,,,,
130203,1302,3,60,6,10,2,1,"1,3",1887,460,207,18879,4605,2074,105201,105211,"700071,700003","2,460000,5,30000,10,46000",573,5731,61052,,,,
130204,1302,4,80,6,10,2,1,"1,3",2171,529,238,21711,5295,2385,105201,105211,"700071,700003,105223","2,460000,5,30000,10,46000",659,6591,61052,,,,
130205,1302,5,100,6,10,2,1,"1,3",2496,609,274,24968,6090,2743,105201,105211,"700071,700003,105223","2,460000,5,30000,10,46000",758,7580,61052,,,,
130206,1302,6,270,6,10,2,1,"1,3",2871,700,315,28714,7003,3155,105201,105211,"700071,700003,105223,105232","2,460000,5,30000,10,46000",871,8717,61052,,,,
135201,1352,1,30,6,11,2,1,"1,3",1713,417,188,17131,4178,1882,105201,105211,700071,"2,640000,5,60000,10,64000",520,5201,61052,,,,
135202,1352,2,45,6,11,2,1,"1,3",1970,480,216,19700,4805,2164,105201,105211,"700071,700003","2,640000,5,60000,10,64000",598,5981,61052,,,,
135203,1352,3,60,6,11,2,1,"1,3",2265,552,248,22655,5526,2489,105201,105211,"700071,700003","2,640000,5,60000,10,64000",687,6878,61052,,,,
135204,1352,4,80,6,11,2,1,"1,3",2605,635,286,26054,6354,2863,105201,105211,"700071,700003,105223","2,640000,5,60000,10,64000",791,7910,61052,,,,
135205,1352,5,100,6,11,2,1,"1,3",2996,730,329,29962,7308,3292,105201,105211,"700071,700003,105223","2,640000,5,60000,10,64000",909,9096,61052,,,,
135206,1352,6,300,6,11,2,1,"1,3",3445,840,378,34456,8404,3786,105201,105211,"700071,700003,105223,105233","2,640000,5,60000,10,64000",1046,10461,61052,,,,
105301,1053,1,30,6,5,3,1,"2,3",505,157,60,5050,1570,604,105301,105311,700071,"2,10000,6,250,10,1000",174,1741,61053,"51053,50",135,215,"23,100"
105302,1053,2,45,6,5,3,1,"2,3",580,180,69,5807,1805,695,105301,105311,"700071,105321","2,10000,6,250,10,1000",200,2003,61053,"51053,50",135,215,"23,100"
105303,1053,3,60,6,5,3,1,"2,3",667,207,79,6679,2076,799,105301,105311,"700071,105321","2,10000,6,250,10,1000",230,2303,61053,"51053,50",135,215,"23,100"
105304,1053,4,80,6,5,3,1,"2,3",768,238,91,7681,2388,919,105301,105311,"700071,105321,105331","2,10000,6,250,10,1000",264,2649,61053,"51053,50",135,215,"23,100"
105305,1053,5,100,6,5,3,1,"2,3",883,274,105,8833,2746,1057,105301,105311,"700071,105321,105331","2,10000,6,250,10,1000",304,3046,61053,"51053,50",135,215,"23,100"
105306,1053,6,120,6,5,3,1,"2,3",1015,315,121,10158,3158,1216,105301,105311,"700071,105321,105331,105341","2,10000,6,250,10,1000",350,3503,61053,"51053,50",135,215,"23,100"
110301,1103,1,30,6,6,3,1,"2,3",606,188,72,6060,1884,725,105301,105311,700071,"2,40000,6,1500,10,4000",209,2090,61053,,,,
110302,1103,2,45,6,6,3,1,"2,3",696,216,83,6969,2166,834,105301,105311,"700071,105322","2,40000,6,1500,10,4000",240,2403,61053,,,,
110303,1103,3,60,6,6,3,1,"2,3",801,249,95,8014,2491,959,105301,105311,"700071,105322","2,40000,6,1500,10,4000",276,2764,61053,,,,
110304,1103,4,80,6,6,3,1,"2,3",921,286,110,9217,2865,1103,105301,105311,"700071,105322,105331","2,40000,6,1500,10,4000",317,3178,61053,,,,
110305,1103,5,100,6,6,3,1,"2,3",1059,329,126,10599,3295,1269,105301,105311,"700071,105322,105331","2,40000,6,1500,10,4000",365,3655,61053,,,,
110306,1103,6,150,6,6,3,1,"2,3",1218,378,145,12189,3789,1459,105301,105311,"700071,105322,105331,105341","2,40000,6,1500,10,4000",420,4204,61053,,,,
115301,1153,1,30,6,7,3,1,"2,3",727,226,87,7272,2261,870,105301,105311,700071,"2,100000,6,4000,10,10000",250,2508,61053,,,,
115302,1153,2,45,6,7,3,1,"2,3",836,260,100,8363,2600,1001,105301,105311,"700071,105322","2,100000,6,4000,10,10000",288,2884,61053,,,,
115303,1153,3,60,6,7,3,1,"2,3",961,299,115,9617,2990,1151,105301,105311,"700071,105322","2,100000,6,4000,10,10000",331,3317,61053,,,,
115304,1153,4,80,6,7,3,1,"2,3",1106,343,132,11060,3438,1324,105301,105311,"700071,105322,105332","2,100000,6,4000,10,10000",381,3814,61053,,,,
115305,1153,5,100,6,7,3,1,"2,3",1271,395,152,12719,3954,1523,105301,105311,"700071,105322,105332","2,100000,6,4000,10,10000",438,4386,61053,,,,
115306,1153,6,180,6,7,3,1,"2,3",1462,454,175,14627,4547,1751,105301,105311,"700071,105322,105332,105341","2,100000,6,4000,10,10000",504,5044,61053,,,,
120301,1203,1,30,6,8,3,1,"2,3",872,271,104,8727,2713,1045,105301,105311,700071,"2,190000,6,8000,10,19000",300,3009,61053,,,,
120302,1203,2,45,6,8,3,1,"2,3",1003,312,120,10036,3120,1201,105301,105311,"700071,105322","2,190000,6,8000,10,19000",346,3461,61053,,,,
120303,1203,3,60,6,8,3,1,"2,3",1154,358,138,11541,3588,1382,105301,105311,"700071,105322","2,190000,6,8000,10,19000",398,3980,61053,,,,
120304,1203,4,80,6,8,3,1,"2,3",1327,412,158,13272,4126,1589,105301,105311,"700071,105322,105332","2,190000,6,8000,10,19000",457,4577,61053,,,,
120305,1203,5,100,6,8,3,1,"2,3",1526,474,182,15263,4745,1827,105301,105311,"700071,105322,105332","2,190000,6,8000,10,19000",526,5264,61053,,,,
120306,1203,6,210,6,8,3,1,"2,3",1755,545,210,17553,5457,2102,105301,105311,"700071,105322,105332,105342","2,190000,6,8000,10,19000",605,6053,61053,,,,
125301,1253,1,30,6,9,3,1,"2,3",1047,325,125,10472,3255,1254,105301,105311,700071,"2,310000,6,16000,10,31000",361,3611,61053,,,,
125302,1253,2,45,6,9,3,1,"2,3",1204,374,144,12043,3744,1442,105301,105311,"700071,105323","2,310000,6,16000,10,31000",415,4153,61053,,,,
125303,1253,3,60,6,9,3,1,"2,3",1384,430,165,13849,4306,1658,105301,105311,"700071,105323","2,310000,6,16000,10,31000",477,4776,61053,,,,
125304,1253,4,80,6,9,3,1,"2,3",1592,495,190,15927,4951,1907,105301,105311,"700071,105323,105332","2,310000,6,16000,10,31000",549,5493,61053,,,,
125305,1253,5,100,6,9,3,1,"2,3",1831,569,219,18316,5694,2193,105301,105311,"700071,105323,105332","2,310000,6,16000,10,31000",631,6317,61053,,,,
125306,1253,6,240,6,9,3,1,"2,3",2106,654,252,21063,6548,2522,105301,105311,"700071,105323,105332,105342","2,310000,6,16000,10,31000",726,7264,61053,,,,
130301,1303,1,30,6,10,3,1,"2,3",1256,390,150,12567,3907,1504,105301,105311,700071,"2,460000,6,30000,10,46000",433,4334,61053,,,,
130302,1303,2,45,6,10,3,1,"2,3",1445,449,173,14452,4493,1730,105301,105311,"700071,105323","2,460000,6,30000,10,46000",498,4984,61053,,,,
130303,1303,3,60,6,10,3,1,"2,3",1661,516,199,16619,5167,1990,105301,105311,"700071,105323","2,460000,6,30000,10,46000",573,5731,61053,,,,
130304,1303,4,80,6,10,3,1,"2,3",1911,594,228,19112,5942,2288,105301,105311,"700071,105323,105333","2,460000,6,30000,10,46000",659,6591,61053,,,,
130305,1303,5,100,6,10,3,1,"2,3",2197,683,263,21979,6833,2632,105301,105311,"700071,105323,105333","2,460000,6,30000,10,46000",758,7580,61053,,,,
130306,1303,6,270,6,10,3,1,"2,3",2527,785,302,25276,7858,3027,105301,105311,"700071,105323,105333,105342","2,460000,6,30000,10,46000",871,8717,61053,,,,
135301,1353,1,30,6,11,3,1,"2,3",1508,468,180,15080,4688,1805,105301,105311,700071,"2,640000,6,60000,10,64000",520,5201,61053,,,,
135302,1353,2,45,6,11,3,1,"2,3",1734,539,207,17342,5391,2076,105301,105311,"700071,105323","2,640000,6,60000,10,64000",598,5981,61053,,,,
135303,1353,3,60,6,11,3,1,"2,3",1994,620,238,19943,6200,2388,105301,105311,"700071,105323","2,640000,6,60000,10,64000",687,6878,61053,,,,
135304,1353,4,80,6,11,3,1,"2,3",2293,713,274,22935,7130,2746,105301,105311,"700071,105323,105333","2,640000,6,60000,10,64000",791,7910,61053,,,,
135305,1353,5,100,6,11,3,1,"2,3",2637,820,315,26375,8200,3158,105301,105311,"700071,105323,105333","2,640000,6,60000,10,64000",909,9096,61053,,,,
135306,1353,6,300,6,11,3,1,"2,3",3033,943,363,30332,9430,3632,105301,105311,"700071,105323,105333,105343","2,640000,6,60000,10,64000",1046,10461,61053,,,,
105401,1054,1,30,6,5,1,1,"1,3",429,178,54,4290,1785,543,105401,105411,700071,"2,10000,4,250,10,1000",174,1741,61054,"51054,50",115,215,"23,100"
105402,1054,2,45,6,5,1,1,"1,3",493,205,62,4933,2053,625,105401,105411,"700071,105421","2,10000,4,250,10,1000",200,2003,61054,"51054,50",115,215,"23,100"
105403,1054,3,60,6,5,1,1,"1,3",567,236,71,5673,2361,719,105401,105411,"700071,105421","2,10000,4,250,10,1000",230,2303,61054,"51054,50",115,215,"23,100"
105404,1054,4,80,6,5,1,1,"1,3",652,271,82,6524,2716,827,105401,105411,"700071,105421,105431","2,10000,4,250,10,1000",264,2649,61054,"51054,50",115,215,"23,100"
105405,1054,5,100,6,5,1,1,"1,3",750,312,95,7503,3123,951,105401,105411,"700071,105421,105431","2,10000,4,250,10,1000",304,3046,61054,"51054,50",115,215,"23,100"
105406,1054,6,120,6,5,1,1,"1,3",862,359,109,8629,3592,1093,105401,105411,"700071,105421,105431,105441","2,10000,4,250,10,1000",350,3503,61054,"51054,50",115,215,"23,100"
110401,1104,1,30,6,6,1,1,"1,3",514,214,65,5148,2143,652,105401,105411,700071,"2,40000,4,1500,10,4000",209,2090,61054,,,,
110402,1104,2,45,6,6,1,1,"1,3",592,246,75,5920,2464,750,105401,105411,"700071,105422","2,40000,4,1500,10,4000",240,2403,61054,,,,
110403,1104,3,60,6,6,1,1,"1,3",680,283,86,6808,2834,863,105401,105411,"700071,105422","2,40000,4,1500,10,4000",276,2764,61054,,,,
110404,1104,4,80,6,6,1,1,"1,3",782,325,99,7829,3259,992,105401,105411,"700071,105422,105431","2,40000,4,1500,10,4000",317,3178,61054,,,,
110405,1104,5,100,6,6,1,1,"1,3",900,374,114,9004,3748,1141,105401,105411,"700071,105422,105431","2,40000,4,1500,10,4000",365,3655,61054,,,,
110406,1104,6,150,6,6,1,1,"1,3",1035,431,131,10354,4310,1312,105401,105411,"700071,105422,105431,105441","2,40000,4,1500,10,4000",420,4204,61054,,,,
115401,1154,1,30,6,7,1,1,"1,3",617,257,78,6177,2571,783,105401,105411,700071,"2,100000,4,4000,10,10000",250,2508,61054,,,,
115402,1154,2,45,6,7,1,1,"1,3",710,295,90,7104,2957,900,105401,105411,"700071,105422","2,100000,4,4000,10,10000",288,2884,61054,,,,
115403,1154,3,60,6,7,1,1,"1,3",817,340,103,8170,3401,1035,105401,105411,"700071,105422","2,100000,4,4000,10,10000",331,3317,61054,,,,
115404,1154,4,80,6,7,1,1,"1,3",939,391,119,9395,3911,1190,105401,105411,"700071,105422,105432","2,100000,4,4000,10,10000",381,3814,61054,,,,
