RobotID,RobotLevel,RobotHead,RobotName,RobotCardList,RobotScore,IsExpenditonRobot
11,15,64032,Andy,"[{""Wave"":1,""Slot"":2,""MonsterID"":4032,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":4011,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":4021,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":4001,""Rank"":1,""Level"":2,""EquipID"":[]}]",20,0
12,15,65032,Jacqueline,"[{""Wave"":1,""Slot"":2,""MonsterID"":5001,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":5032,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":5011,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":5021,""Rank"":1,""Level"":3,""EquipID"":[]}]",30,0
13,15,66032,Nina,"[{""Wave"":1,""Slot"":2,""MonsterID"":6021,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":6001,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":6011,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":6032,""Rank"":1,""Level"":3,""EquipID"":[]}]",30,0
14,15,61033,Parker,"[{""Wave"":1,""Slot"":2,""MonsterID"":1011,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":1033,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":1021,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":1001,""Rank"":1,""Level"":3,""EquipID"":[]}]",30,0
15,15,62033,Cecil,"[{""Wave"":1,""Slot"":2,""MonsterID"":2001,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":2011,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":2021,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":2033,""Rank"":1,""Level"":3,""EquipID"":[]}]",30,0
16,15,63033,Blanche,"[{""Wave"":1,""Slot"":2,""MonsterID"":3033,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":3021,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":3001,""Rank"":1,""Level"":3,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":3011,""Rank"":1,""Level"":3,""EquipID"":[]}]",30,0
17,15,64033,Tabitha,"[{""Wave"":1,""Slot"":2,""MonsterID"":4011,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":4033,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":4021,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":4001,""Rank"":1,""Level"":4,""EquipID"":[]}]",40,0
18,15,65033,Booth,"[{""Wave"":1,""Slot"":2,""MonsterID"":5001,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":5011,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":5021,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":5033,""Rank"":1,""Level"":4,""EquipID"":[]}]",40,0
19,15,66033,Darlene,"[{""Wave"":1,""Slot"":2,""MonsterID"":6033,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":6021,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":6001,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":6011,""Rank"":1,""Level"":4,""EquipID"":[]}]",40,0
20,15,61031,Oliver,"[{""Wave"":1,""Slot"":2,""MonsterID"":1011,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":1021,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":1001,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":1031,""Rank"":1,""Level"":4,""EquipID"":[]}]",40,0
21,15,62031,Page,"[{""Wave"":1,""Slot"":2,""MonsterID"":2031,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":2001,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":2011,""Rank"":1,""Level"":4,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":2021,""Rank"":1,""Level"":4,""EquipID"":[]}]",40,0
22,16,63031,Delia,"[{""Wave"":1,""Slot"":2,""MonsterID"":3021,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":3031,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":3001,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":3011,""Rank"":1,""Level"":5,""EquipID"":[]}]",50,0
23,16,64031,Renata,"[{""Wave"":1,""Slot"":2,""MonsterID"":4011,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":4021,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":4001,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":4031,""Rank"":1,""Level"":5,""EquipID"":[]}]",50,0
24,16,65031,Audrey,"[{""Wave"":1,""Slot"":2,""MonsterID"":5031,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":5001,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":5011,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":5021,""Rank"":1,""Level"":5,""EquipID"":[]}]",50,0
25,16,66031,Luther,"[{""Wave"":1,""Slot"":2,""MonsterID"":6021,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":6031,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":6001,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":6011,""Rank"":1,""Level"":5,""EquipID"":[]}]",50,0
26,16,61032,Zachary,"[{""Wave"":1,""Slot"":2,""MonsterID"":1032,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":1011,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":1021,""Rank"":1,""Level"":5,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":1001,""Rank"":1,""Level"":5,""EquipID"":[]}]",50,0
27,16,62032,Hedy,"[{""Wave"":1,""Slot"":2,""MonsterID"":2001,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":2032,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":2011,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":2021,""Rank"":1,""Level"":6,""EquipID"":[]}]",60,0
28,16,63032,Lyndon,"[{""Wave"":1,""Slot"":2,""MonsterID"":3021,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":3001,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":3011,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":3032,""Rank"":1,""Level"":6,""EquipID"":[]}]",60,0
29,16,64032,Phyllis,"[{""Wave"":1,""Slot"":2,""MonsterID"":4032,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":4011,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":4021,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":4001,""Rank"":1,""Level"":6,""EquipID"":[]}]",60,0
30,16,65032,Bruce,"[{""Wave"":1,""Slot"":2,""MonsterID"":5001,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":5032,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":5011,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":5021,""Rank"":1,""Level"":6,""EquipID"":[]}]",60,0
31,16,66032,Daborah,"[{""Wave"":1,""Slot"":2,""MonsterID"":6021,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":6001,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":6011,""Rank"":1,""Level"":6,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":6032,""Rank"":1,""Level"":6,""EquipID"":[]}]",60,0
32,16,61033,Jesse,"[{""Wave"":1,""Slot"":2,""MonsterID"":1011,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":1033,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":1021,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":1001,""Rank"":1,""Level"":7,""EquipID"":[]}]",70,0
33,16,62033,Claire,"[{""Wave"":1,""Slot"":2,""MonsterID"":2001,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":2011,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":2021,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":2033,""Rank"":1,""Level"":7,""EquipID"":[]}]",70,0
34,16,63033,Ronald,"[{""Wave"":1,""Slot"":2,""MonsterID"":3033,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":3021,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":3001,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":3011,""Rank"":1,""Level"":7,""EquipID"":[]}]",70,0
35,16,64033,Aaron,"[{""Wave"":1,""Slot"":2,""MonsterID"":4011,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":4033,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":4021,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":4001,""Rank"":1,""Level"":7,""EquipID"":[]}]",70,0
36,16,65033,Baird,"[{""Wave"":1,""Slot"":2,""MonsterID"":5001,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":5011,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":5021,""Rank"":1,""Level"":7,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":5033,""Rank"":1,""Level"":7,""EquipID"":[]}]",70,0
37,17,66033,Yetta,"[{""Wave"":1,""Slot"":2,""MonsterID"":6033,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":6021,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":6001,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":6011,""Rank"":1,""Level"":8,""EquipID"":[]}]",80,0
38,17,61031,Maria,"[{""Wave"":1,""Slot"":2,""MonsterID"":1011,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":1021,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":1001,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":1031,""Rank"":1,""Level"":8,""EquipID"":[]}]",80,0
39,17,62031,Belinda,"[{""Wave"":1,""Slot"":2,""MonsterID"":2031,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":2001,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":2011,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":2021,""Rank"":1,""Level"":8,""EquipID"":[]}]",80,0
40,17,63031,Lance,"[{""Wave"":1,""Slot"":2,""MonsterID"":3021,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":3031,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":3001,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":3011,""Rank"":1,""Level"":8,""EquipID"":[]}]",80,0
41,17,64031,Jonathan,"[{""Wave"":1,""Slot"":2,""MonsterID"":4011,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":4021,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":4001,""Rank"":1,""Level"":8,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":4031,""Rank"":1,""Level"":8,""EquipID"":[]}]",80,0
42,17,65031,Sally,"[{""Wave"":1,""Slot"":2,""MonsterID"":5031,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":5001,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":5011,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":5021,""Rank"":1,""Level"":9,""EquipID"":[]}]",90,0
43,17,66031,Samuel,"[{""Wave"":1,""Slot"":2,""MonsterID"":6021,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":6031,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":6001,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":6011,""Rank"":1,""Level"":9,""EquipID"":[]}]",90,0
44,17,61032,Fanny,"[{""Wave"":1,""Slot"":2,""MonsterID"":1032,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":1011,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":1021,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":1001,""Rank"":1,""Level"":9,""EquipID"":[]}]",90,0
45,17,62032,Rachel,"[{""Wave"":1,""Slot"":2,""MonsterID"":2001,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":2032,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":2011,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":2021,""Rank"":1,""Level"":9,""EquipID"":[]}]",90,0
46,17,63032,Agatha,"[{""Wave"":1,""Slot"":2,""MonsterID"":3021,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":3001,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":3011,""Rank"":1,""Level"":9,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":3032,""Rank"":1,""Level"":9,""EquipID"":[]}]",90,0
47,17,64032,Michael,"[{""Wave"":1,""Slot"":2,""MonsterID"":4032,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":4011,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":4021,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":4001,""Rank"":1,""Level"":10,""EquipID"":[]}]",100,0
48,17,65032,Zora,"[{""Wave"":1,""Slot"":2,""MonsterID"":5001,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":5032,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":5011,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":5021,""Rank"":1,""Level"":10,""EquipID"":[]}]",100,0
49,17,66032,Bevis,"[{""Wave"":1,""Slot"":2,""MonsterID"":6021,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":6001,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":6011,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":6032,""Rank"":1,""Level"":10,""EquipID"":[]}]",100,0
50,17,61033,Les,"[{""Wave"":1,""Slot"":2,""MonsterID"":1011,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":1033,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":1021,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":1001,""Rank"":1,""Level"":10,""EquipID"":[]}]",100,0
51,17,62033,Eli,"[{""Wave"":1,""Slot"":2,""MonsterID"":2001,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":2011,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":2021,""Rank"":1,""Level"":10,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":2033,""Rank"":1,""Level"":10,""EquipID"":[]}]",100,0
52,18,63033,Nancy,"[{""Wave"":1,""Slot"":2,""MonsterID"":3033,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":3021,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":3001,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":3011,""Rank"":1,""Level"":11,""EquipID"":[]}]",110,0
53,18,64033,James,"[{""Wave"":1,""Slot"":2,""MonsterID"":4011,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":4033,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":4021,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":4001,""Rank"":1,""Level"":11,""EquipID"":[]}]",110,0
54,18,65033,Mona,"[{""Wave"":1,""Slot"":2,""MonsterID"":5001,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":5011,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":5021,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":5033,""Rank"":1,""Level"":11,""EquipID"":[]}]",110,0
55,18,66033,Sandy,"[{""Wave"":1,""Slot"":2,""MonsterID"":6033,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":6021,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":6001,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":6011,""Rank"":1,""Level"":11,""EquipID"":[]}]",110,0
56,18,61031,Kimberly,"[{""Wave"":1,""Slot"":2,""MonsterID"":1011,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":1021,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":1001,""Rank"":1,""Level"":11,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":1031,""Rank"":1,""Level"":11,""EquipID"":[]}]",110,0
57,18,62031,Sibyl,"[{""Wave"":1,""Slot"":2,""MonsterID"":2031,""Rank"":1,""Level"":12,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":2001,""Rank"":1,""Level"":12,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":2011,""Rank"":1,""Level"":12,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":2021,""Rank"":1,""Level"":12,""EquipID"":[]}]",120,0
58,18,63031,Dana,"[{""Wave"":1,""Slot"":2,""MonsterID"":3021,""Rank"":1,""Level"":12,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":3031,""Rank"":1,""Level"":12,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":3001,""Rank"":1,""Level"":12,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":3011,""Rank"":1,""Level"":12,""EquipID"":[]}]",120,0
59,18,64031,Avery,"[{""Wave"":1,""Slot"":2,""MonsterID"":4011,""Rank"":1,""Level"":12,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":4021,""Rank"":1,""Level"":12,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":4001,""Rank"":1,""Level"":12,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":4031,""Rank"":1,""Level"":12,""EquipID"":[]}]",120,0
60,18,65031,Lester,"[{""Wave"":1,""Slot"":2,""MonsterID"":5031,""Rank"":1,""Level"":12,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":5001,""Rank"":1,""Level"":12,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":5011,""Rank"":1,""Level"":12,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":5021,""Rank"":1,""Level"":12,""EquipID"":[]}]",120,0
