StageID,MaxWaves,MonsterList,MaxRound,TimeUpWin,PlayerCardMax,FriendSupportMax,NpcSupportList,StageTeamSkillList,RewardList
11,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":3001,""Rank"":1,""Level"":15,""EquipID"":[22017,21001]},{""Wave"":1,""Slot"":4,""MonsterID"":3001,""Rank"":1,""Level"":15,""EquipID"":[22017,21001]},{""Wave"":1,""Slot"":6,""MonsterID"":3001,""Rank"":1,""Level"":15,""EquipID"":[22017,21001]},{""Wave"":1,""Slot"":8,""MonsterID"":3031,""Rank"":1,""Level"":15,""EquipID"":[23013,21001]}]",15,,4,0,,,"1,1200,2,600,7,140,10002,1"
12,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":3033,""Rank"":1,""Level"":15,""EquipID"":[23013,21001]},{""Wave"":1,""Slot"":4,""MonsterID"":3021,""Rank"":1,""Level"":15,""EquipID"":[22009,21001]},{""Wave"":1,""Slot"":6,""MonsterID"":3021,""Rank"":1,""Level"":15,""EquipID"":[22009,21001]},{""Wave"":1,""Slot"":7,""MonsterID"":3021,""Rank"":1,""Level"":15,""EquipID"":[22009,21001]},{""Wave"":1,""Slot"":9,""MonsterID"":3021,""Rank"":1,""Level"":15,""EquipID"":[22009,21001]}]",15,,4,0,,,"1,1200,2,600,7,140,11002,1"
13,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":6011,""Rank"":1,""Level"":15,""EquipID"":[22013,21001]},{""Wave"":1,""Slot"":3,""MonsterID"":6011,""Rank"":1,""Level"":15,""EquipID"":[22013,21001]},{""Wave"":1,""Slot"":5,""MonsterID"":6052,""Rank"":1,""Level"":15,""EquipID"":[23009,21001]},{""Wave"":1,""Slot"":8,""MonsterID"":6001,""Rank"":1,""Level"":15,""EquipID"":[22017,21001]}]",15,,4,0,,,"1,1200,2,600,7,140,12002,1"
14,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":6033,""Rank"":1,""Level"":15,""EquipID"":[23013,21001]},{""Wave"":1,""Slot"":4,""MonsterID"":6021,""Rank"":1,""Level"":15,""EquipID"":[22009,21001]},{""Wave"":1,""Slot"":6,""MonsterID"":6021,""Rank"":1,""Level"":15,""EquipID"":[22009,21001]},{""Wave"":1,""Slot"":7,""MonsterID"":6011,""Rank"":1,""Level"":15,""EquipID"":[22013,21001]},{""Wave"":1,""Slot"":9,""MonsterID"":6011,""Rank"":1,""Level"":15,""EquipID"":[22013,21001]}]",15,,4,0,,,"1,1200,2,600,7,140,13002,1"
15,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":6021,""Rank"":1,""Level"":15,""EquipID"":[22009,21001]},{""Wave"":1,""Slot"":2,""MonsterID"":6021,""Rank"":1,""Level"":15,""EquipID"":[22009,21001]},{""Wave"":1,""Slot"":3,""MonsterID"":6021,""Rank"":1,""Level"":15,""EquipID"":[22009,21001]},{""Wave"":1,""Slot"":5,""MonsterID"":6021,""Rank"":1,""Level"":15,""EquipID"":[22009,21001]},{""Wave"":1,""Slot"":8,""MonsterID"":6054,""Rank"":1,""Level"":15,""EquipID"":[23009,21001]}]",15,,4,0,,,"1,1200,2,600,7,140,15,2"
16,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":6011,""Rank"":1,""Level"":20,""EquipID"":[22018,21002]},{""Wave"":1,""Slot"":4,""MonsterID"":6011,""Rank"":1,""Level"":20,""EquipID"":[22018,21002]},{""Wave"":1,""Slot"":6,""MonsterID"":6011,""Rank"":1,""Level"":20,""EquipID"":[22018,21002]},{""Wave"":1,""Slot"":8,""MonsterID"":6032,""Rank"":1,""Level"":20,""EquipID"":[23018,21002]}]",15,,4,0,,,"1,1600,2,800,7,160,10003,1"
17,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":6021,""Rank"":1,""Level"":20,""EquipID"":[22014,21002]},{""Wave"":1,""Slot"":3,""MonsterID"":6021,""Rank"":1,""Level"":20,""EquipID"":[22014,21002]},{""Wave"":1,""Slot"":5,""MonsterID"":6031,""Rank"":1,""Level"":20,""EquipID"":[23018,21002]},{""Wave"":1,""Slot"":7,""MonsterID"":6001,""Rank"":1,""Level"":20,""EquipID"":[22022,21002]},{""Wave"":1,""Slot"":9,""MonsterID"":6001,""Rank"":1,""Level"":20,""EquipID"":[22022,21002]}]",15,,4,0,,,"1,1600,2,800,7,160,11003,1"
18,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":3051,""Rank"":1,""Level"":20,""EquipID"":[23014,21002]},{""Wave"":1,""Slot"":6,""MonsterID"":3001,""Rank"":1,""Level"":20,""EquipID"":[22022,21002]},{""Wave"":1,""Slot"":7,""MonsterID"":3011,""Rank"":1,""Level"":20,""EquipID"":[22018,21002]},{""Wave"":1,""Slot"":9,""MonsterID"":3011,""Rank"":1,""Level"":20,""EquipID"":[22018,21002]}]",15,,4,0,,,"1,1600,2,800,7,160,12003,1"
19,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":3033,""Rank"":1,""Level"":20,""EquipID"":[23018,21002]},{""Wave"":1,""Slot"":6,""MonsterID"":3021,""Rank"":1,""Level"":20,""EquipID"":[22014,21002]},{""Wave"":1,""Slot"":7,""MonsterID"":3011,""Rank"":1,""Level"":20,""EquipID"":[22018,21002]},{""Wave"":1,""Slot"":8,""MonsterID"":3032,""Rank"":1,""Level"":20,""EquipID"":[23018,21002]},{""Wave"":1,""Slot"":9,""MonsterID"":3011,""Rank"":1,""Level"":20,""EquipID"":[22018,21002]}]",15,,4,0,,,"1,1600,2,800,7,160,13003,1"
20,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":3001,""Rank"":1,""Level"":20,""EquipID"":[22022,21002]},{""Wave"":1,""Slot"":3,""MonsterID"":3001,""Rank"":1,""Level"":20,""EquipID"":[22022,21002]},{""Wave"":1,""Slot"":5,""MonsterID"":3001,""Rank"":1,""Level"":20,""EquipID"":[22022,21002]},{""Wave"":1,""Slot"":7,""MonsterID"":3051,""Rank"":1,""Level"":20,""EquipID"":[23014,21002]},{""Wave"":1,""Slot"":9,""MonsterID"":3052,""Rank"":1,""Level"":20,""EquipID"":[23014,21002]}]",15,,4,0,,,"1,1600,2,800,7,160,16,1"
21,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":5021,""Rank"":1,""Level"":25,""EquipID"":[22017,21002]},{""Wave"":1,""Slot"":4,""MonsterID"":5021,""Rank"":1,""Level"":25,""EquipID"":[22017,21002]},{""Wave"":1,""Slot"":6,""MonsterID"":5021,""Rank"":1,""Level"":25,""EquipID"":[22017,21002]},{""Wave"":1,""Slot"":8,""MonsterID"":5033,""Rank"":1,""Level"":25,""EquipID"":[23021,21002]}]",15,,4,0,,,"1,2000,2,1000,7,180,10003,1"
22,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":5031,""Rank"":1,""Level"":25,""EquipID"":[23021,21002]},{""Wave"":1,""Slot"":4,""MonsterID"":5001,""Rank"":1,""Level"":25,""EquipID"":[22025,21002]},{""Wave"":1,""Slot"":6,""MonsterID"":5001,""Rank"":1,""Level"":25,""EquipID"":[22025,21002]},{""Wave"":1,""Slot"":7,""MonsterID"":5021,""Rank"":1,""Level"":25,""EquipID"":[22017,21002]},{""Wave"":1,""Slot"":9,""MonsterID"":5021,""Rank"":1,""Level"":25,""EquipID"":[22017,21002]}]",15,,4,0,,,"1,2000,2,1000,7,180,11003,1"
23,1,"[{""Wave"":1,""Slot"":3,""MonsterID"":1011,""Rank"":1,""Level"":25,""EquipID"":[22021,21002]},{""Wave"":1,""Slot"":5,""MonsterID"":1051,""Rank"":1,""Level"":25,""EquipID"":[23017,21002]},{""Wave"":1,""Slot"":7,""MonsterID"":1001,""Rank"":1,""Level"":25,""EquipID"":[22025,21002]},{""Wave"":1,""Slot"":9,""MonsterID"":1001,""Rank"":1,""Level"":25,""EquipID"":[22025,21002]}]",15,,4,0,,,"1,2000,2,1000,7,180,12003,1"
24,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":1032,""Rank"":1,""Level"":25,""EquipID"":[23021,21002]},{""Wave"":1,""Slot"":6,""MonsterID"":1011,""Rank"":1,""Level"":25,""EquipID"":[22021,21002]},{""Wave"":1,""Slot"":7,""MonsterID"":1021,""Rank"":1,""Level"":25,""EquipID"":[22017,21002]},{""Wave"":1,""Slot"":8,""MonsterID"":1033,""Rank"":1,""Level"":25,""EquipID"":[23021,21002]},{""Wave"":1,""Slot"":9,""MonsterID"":1021,""Rank"":1,""Level"":25,""EquipID"":[22017,21002]}]",15,,4,0,,,"1,2000,2,1000,7,180,13003,1"
25,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":1021,""Rank"":1,""Level"":25,""EquipID"":[22017,21002]},{""Wave"":1,""Slot"":3,""MonsterID"":1021,""Rank"":1,""Level"":25,""EquipID"":[22017,21002]},{""Wave"":1,""Slot"":5,""MonsterID"":1051,""Rank"":1,""Level"":25,""EquipID"":[23017,21002]},{""Wave"":1,""Slot"":8,""MonsterID"":1053,""Rank"":1,""Level"":25,""EquipID"":[23017,21002]},{""Wave"":1,""Slot"":9,""MonsterID"":1001,""Rank"":1,""Level"":25,""EquipID"":[22025,21002]}]",15,,4,0,,,"1,2000,2,1000,7,180,15,2"
26,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":4032,""Rank"":2,""Level"":30,""EquipID"":[23020,21003]},{""Wave"":1,""Slot"":4,""MonsterID"":4011,""Rank"":2,""Level"":30,""EquipID"":[22020,21003]},{""Wave"":1,""Slot"":6,""MonsterID"":4011,""Rank"":2,""Level"":30,""EquipID"":[22020,21003]},{""Wave"":1,""Slot"":8,""MonsterID"":4011,""Rank"":2,""Level"":30,""EquipID"":[22020,21003]}]",15,,4,0,,,"1,2400,2,1200,7,200,10003,1"
27,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":4011,""Rank"":2,""Level"":30,""EquipID"":[22020,21003]},{""Wave"":1,""Slot"":5,""MonsterID"":4011,""Rank"":2,""Level"":30,""EquipID"":[22020,21003]},{""Wave"":1,""Slot"":7,""MonsterID"":4001,""Rank"":2,""Level"":30,""EquipID"":[22024,21003]},{""Wave"":1,""Slot"":8,""MonsterID"":4031,""Rank"":2,""Level"":30,""EquipID"":[23020,21003]},{""Wave"":1,""Slot"":9,""MonsterID"":4001,""Rank"":2,""Level"":30,""EquipID"":[22024,21003]}]",15,,4,0,,,"1,2400,2,1200,7,200,11003,1"
28,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":5051,""Rank"":2,""Level"":30,""EquipID"":[23016,21003]},{""Wave"":1,""Slot"":4,""MonsterID"":5001,""Rank"":2,""Level"":30,""EquipID"":[22024,21003]},{""Wave"":1,""Slot"":7,""MonsterID"":5011,""Rank"":2,""Level"":30,""EquipID"":[22020,21003]},{""Wave"":1,""Slot"":9,""MonsterID"":5011,""Rank"":2,""Level"":30,""EquipID"":[22020,21003]}]",15,,4,0,,,"1,2400,2,1200,7,200,12003,1"
29,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":5032,""Rank"":2,""Level"":30,""EquipID"":[23020,21003]},{""Wave"":1,""Slot"":4,""MonsterID"":5011,""Rank"":2,""Level"":30,""EquipID"":[22020,21003]},{""Wave"":1,""Slot"":6,""MonsterID"":5011,""Rank"":2,""Level"":30,""EquipID"":[22020,21003]},{""Wave"":1,""Slot"":7,""MonsterID"":5021,""Rank"":2,""Level"":30,""EquipID"":[22016,21003]},{""Wave"":1,""Slot"":8,""MonsterID"":5033,""Rank"":2,""Level"":30,""EquipID"":[23020,21003]}]",15,,4,0,,,"1,2400,2,1200,7,200,13003,1"
30,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":5051,""Rank"":2,""Level"":30,""EquipID"":[23016,21003]},{""Wave"":1,""Slot"":4,""MonsterID"":5001,""Rank"":2,""Level"":30,""EquipID"":[22024,21003]},{""Wave"":1,""Slot"":7,""MonsterID"":5011,""Rank"":2,""Level"":30,""EquipID"":[22020,21003]},{""Wave"":1,""Slot"":8,""MonsterID"":5052,""Rank"":2,""Level"":30,""EquipID"":[23016,21003]},{""Wave"":1,""Slot"":9,""MonsterID"":5011,""Rank"":2,""Level"":30,""EquipID"":[22020,21003]}]",15,,4,0,,,"1,2400,2,1200,7,200,15,2"
31,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":2021,""Rank"":2,""Level"":35,""EquipID"":[22018,21003]},{""Wave"":1,""Slot"":4,""MonsterID"":2021,""Rank"":2,""Level"":35,""EquipID"":[22018,21003]},{""Wave"":1,""Slot"":6,""MonsterID"":2021,""Rank"":2,""Level"":35,""EquipID"":[22018,21003]},{""Wave"":1,""Slot"":8,""MonsterID"":2033,""Rank"":2,""Level"":35,""EquipID"":[23022,21003]}]",15,,4,0,,,"1,2800,2,1400,7,220,10004,1"
32,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":2031,""Rank"":2,""Level"":35,""EquipID"":[23022,21003]},{""Wave"":1,""Slot"":4,""MonsterID"":2001,""Rank"":2,""Level"":35,""EquipID"":[22026,21003]},{""Wave"":1,""Slot"":6,""MonsterID"":2001,""Rank"":2,""Level"":35,""EquipID"":[22026,21003]},{""Wave"":1,""Slot"":7,""MonsterID"":2021,""Rank"":2,""Level"":35,""EquipID"":[22018,21003]},{""Wave"":1,""Slot"":9,""MonsterID"":2021,""Rank"":2,""Level"":35,""EquipID"":[22018,21003]}]",15,,4,0,,,"1,2800,2,1400,7,220,11004,1"
33,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":4021,""Rank"":2,""Level"":35,""EquipID"":[22018,21003]},{""Wave"":1,""Slot"":3,""MonsterID"":4021,""Rank"":2,""Level"":35,""EquipID"":[22018,21003]},{""Wave"":1,""Slot"":5,""MonsterID"":4051,""Rank"":2,""Level"":35,""EquipID"":[23018,21003]},{""Wave"":1,""Slot"":9,""MonsterID"":4001,""Rank"":2,""Level"":35,""EquipID"":[22026,21003]}]",15,,4,0,,,"1,2800,2,1400,7,220,12004,1"
34,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":4032,""Rank"":2,""Level"":35,""EquipID"":[23022,21003]},{""Wave"":1,""Slot"":6,""MonsterID"":4011,""Rank"":2,""Level"":35,""EquipID"":[22022,21003]},{""Wave"":1,""Slot"":7,""MonsterID"":4021,""Rank"":2,""Level"":35,""EquipID"":[22018,21003]},{""Wave"":1,""Slot"":8,""MonsterID"":4033,""Rank"":2,""Level"":35,""EquipID"":[23022,21003]},{""Wave"":1,""Slot"":9,""MonsterID"":4021,""Rank"":2,""Level"":35,""EquipID"":[22018,21003]}]",15,,4,0,,,"1,2800,2,1400,7,220,13004,1"
35,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":4021,""Rank"":2,""Level"":35,""EquipID"":[22018,21003]},{""Wave"":1,""Slot"":4,""MonsterID"":4001,""Rank"":2,""Level"":35,""EquipID"":[22026,21003]},{""Wave"":1,""Slot"":6,""MonsterID"":4001,""Rank"":2,""Level"":35,""EquipID"":[22026,21003]},{""Wave"":1,""Slot"":7,""MonsterID"":4053,""Rank"":2,""Level"":35,""EquipID"":[23018,21003]},{""Wave"":1,""Slot"":9,""MonsterID"":4051,""Rank"":2,""Level"":35,""EquipID"":[23018,21003]}]",15,,4,0,,,"1,2800,2,1400,7,220,16,1"
36,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":6011,""Rank"":2,""Level"":40,""EquipID"":[22023,21004]},{""Wave"":1,""Slot"":4,""MonsterID"":6011,""Rank"":2,""Level"":40,""EquipID"":[22023,21004]},{""Wave"":1,""Slot"":6,""MonsterID"":6011,""Rank"":2,""Level"":40,""EquipID"":[22023,21004]},{""Wave"":1,""Slot"":8,""MonsterID"":6032,""Rank"":2,""Level"":40,""EquipID"":[23023,21004]}]",15,,4,0,,,"1,3200,2,1600,7,240,10004,1"
37,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":6033,""Rank"":2,""Level"":40,""EquipID"":[23023,21004]},{""Wave"":1,""Slot"":4,""MonsterID"":6021,""Rank"":2,""Level"":40,""EquipID"":[22019,21004]},{""Wave"":1,""Slot"":6,""MonsterID"":6021,""Rank"":2,""Level"":40,""EquipID"":[22019,21004]},{""Wave"":1,""Slot"":7,""MonsterID"":6011,""Rank"":2,""Level"":40,""EquipID"":[22023,21004]},{""Wave"":1,""Slot"":9,""MonsterID"":6011,""Rank"":2,""Level"":40,""EquipID"":[22023,21004]}]",15,,4,0,,,"1,3200,2,1600,7,240,11004,1"
38,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":2051,""Rank"":2,""Level"":40,""EquipID"":[23019,21004]},{""Wave"":1,""Slot"":4,""MonsterID"":2001,""Rank"":2,""Level"":40,""EquipID"":[22027,21004]},{""Wave"":1,""Slot"":7,""MonsterID"":2011,""Rank"":2,""Level"":40,""EquipID"":[22023,21004]},{""Wave"":1,""Slot"":9,""MonsterID"":2011,""Rank"":2,""Level"":40,""EquipID"":[22023,21004]}]",15,,4,0,,,"1,3200,2,1600,7,240,12004,1"
39,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":2032,""Rank"":2,""Level"":40,""EquipID"":[23023,21004]},{""Wave"":1,""Slot"":4,""MonsterID"":2011,""Rank"":2,""Level"":40,""EquipID"":[22023,21004]},{""Wave"":1,""Slot"":7,""MonsterID"":2021,""Rank"":2,""Level"":40,""EquipID"":[22019,21004]},{""Wave"":1,""Slot"":8,""MonsterID"":2033,""Rank"":2,""Level"":40,""EquipID"":[23023,21004]},{""Wave"":1,""Slot"":9,""MonsterID"":2021,""Rank"":2,""Level"":40,""EquipID"":[22019,21004]}]",15,,4,0,,,"1,3200,2,1600,7,240,13004,1"
40,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":2051,""Rank"":2,""Level"":40,""EquipID"":[23019,21004]},{""Wave"":1,""Slot"":4,""MonsterID"":2001,""Rank"":2,""Level"":40,""EquipID"":[22027,21004]},{""Wave"":1,""Slot"":7,""MonsterID"":2011,""Rank"":2,""Level"":40,""EquipID"":[22023,21004]},{""Wave"":1,""Slot"":8,""MonsterID"":2052,""Rank"":2,""Level"":40,""EquipID"":[23019,21004]},{""Wave"":1,""Slot"":9,""MonsterID"":2011,""Rank"":2,""Level"":40,""EquipID"":[22023,21004]}]",15,,4,0,,,"1,3200,2,1600,7,240,15,2"
41,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":3011,""Rank"":3,""Level"":45,""EquipID"":[22022,21004]},{""Wave"":1,""Slot"":4,""MonsterID"":3011,""Rank"":3,""Level"":45,""EquipID"":[22022,21004]},{""Wave"":1,""Slot"":6,""MonsterID"":3011,""Rank"":3,""Level"":45,""EquipID"":[22022,21004]},{""Wave"":1,""Slot"":8,""MonsterID"":3032,""Rank"":3,""Level"":45,""EquipID"":[23022,21004]}]",15,,4,0,,,"1,3800,2,1900,7,260,10004,1"
42,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":3033,""Rank"":3,""Level"":45,""EquipID"":[23022,21004]},{""Wave"":1,""Slot"":4,""MonsterID"":3021,""Rank"":3,""Level"":45,""EquipID"":[22018,21004]},{""Wave"":1,""Slot"":6,""MonsterID"":3021,""Rank"":3,""Level"":45,""EquipID"":[22018,21004]},{""Wave"":1,""Slot"":7,""MonsterID"":3011,""Rank"":3,""Level"":45,""EquipID"":[22022,21004]},{""Wave"":1,""Slot"":9,""MonsterID"":3011,""Rank"":3,""Level"":45,""EquipID"":[22022,21004]}]",15,,4,0,,,"1,3800,2,1900,7,260,11004,1"
43,1,"[{""Wave"":1,""Slot"":3,""MonsterID"":6021,""Rank"":3,""Level"":45,""EquipID"":[22018,21004]},{""Wave"":1,""Slot"":5,""MonsterID"":6053,""Rank"":3,""Level"":45,""EquipID"":[23018,21004]},{""Wave"":1,""Slot"":7,""MonsterID"":6001,""Rank"":2,""Level"":45,""EquipID"":[22029,21004]},{""Wave"":1,""Slot"":9,""MonsterID"":6001,""Rank"":2,""Level"":45,""EquipID"":[22029,21004]}]",15,,4,0,,,"1,3800,2,1900,7,260,12004,1"
44,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":6031,""Rank"":3,""Level"":45,""EquipID"":[23022,21004]},{""Wave"":1,""Slot"":4,""MonsterID"":6001,""Rank"":2,""Level"":45,""EquipID"":[22029,21004]},{""Wave"":1,""Slot"":6,""MonsterID"":6001,""Rank"":2,""Level"":45,""EquipID"":[22029,21004]},{""Wave"":1,""Slot"":8,""MonsterID"":6032,""Rank"":3,""Level"":45,""EquipID"":[23022,21004]},{""Wave"":1,""Slot"":9,""MonsterID"":6011,""Rank"":3,""Level"":45,""EquipID"":[22022,21004]}]",15,,4,0,,,"1,3800,2,1900,7,260,13004,1"
45,1,"[{""Wave"":1,""Slot"":3,""MonsterID"":6021,""Rank"":3,""Level"":45,""EquipID"":[22018,21004]},{""Wave"":1,""Slot"":5,""MonsterID"":6053,""Rank"":3,""Level"":45,""EquipID"":[23018,21004]},{""Wave"":1,""Slot"":7,""MonsterID"":6001,""Rank"":2,""Level"":45,""EquipID"":[22029,21004]},{""Wave"":1,""Slot"":8,""MonsterID"":6054,""Rank"":3,""Level"":45,""EquipID"":[23018,21004]},{""Wave"":1,""Slot"":9,""MonsterID"":6001,""Rank"":2,""Level"":45,""EquipID"":[22029,21004]}]",15,,4,0,,,"1,3800,2,1900,7,260,15,2"
46,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":1001,""Rank"":2,""Level"":50,""EquipID"":[22030,21005]},{""Wave"":1,""Slot"":4,""MonsterID"":1001,""Rank"":2,""Level"":50,""EquipID"":[22030,21005]},{""Wave"":1,""Slot"":6,""MonsterID"":1001,""Rank"":2,""Level"":50,""EquipID"":[22030,21005]},{""Wave"":1,""Slot"":8,""MonsterID"":1031,""Rank"":3,""Level"":50,""EquipID"":[23023,21005]}]",15,,4,0,,,"1,4200,2,2100,7,280,10004,1"
